X,Y,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN
73.8535,841.057,-83,-74,-59,-59,-120,-120,-120,-120,-120,-120
86.6651,839.808,-84,-78,-62,-62,-120,-120,-120,-120,-120,-120
102.34,855.17,-86,-59,-57,-57,-120,-120,-120,-89,-120,-120
131.85,817.944,-77,-65,-61,-61,-89,-120,-120,-120,-120,-120
139.054,1151.72,-60,-60,-80,-83,-65,-120,-120,-120,-92,-65
154.959,1394.38,-54,-75,-81,-80,-61,-84,-73,-120,-120,-61
155.803,1152.4,-57,-59,-74,-73,-61,-120,-120,-79,-82,-61
156.646,1445.04,-58,-74,-82,-82,-61,-85,-74,-120,-120,-60
160.625,1389.67,-56,-77,-82,-82,-67,-79,-77,-120,-120,-68
161.423,864.189,-73,-54,-45,-44,-80,-75,-120,-89,-76,-80
161.706,1202.99,-48,-50,-76,-76,-56,-78,-120,-75,-81,-56
162.007,1485.57,-63,-69,-81,-120,-71,-120,-81,-120,-120,-71
162.476,1220.61,-51,-66,-79,-79,-57,-88,-90,-87,-120,-58
162.566,1350.74,-62,-68,-82,-85,-66,-87,-89,-120,-120,-66
162.912,1392.08,-56,-83,-89,-88,-67,-88,-80,-120,-120,-68
162.971,1345.27,-51,-66,-81,-82,-62,-84,-80,-120,-120,-62
163.929,157.746,-120,-120,-81,-88,-120,-120,-120,-120,-120,-120
164.124,1300.26,-50,-68,-83,-76,-60,-85,-120,-120,-89,-60
164.197,294.787,-120,-89,-87,-86,-120,-120,-120,-120,-120,-120
164.307,1325.64,-60,-120,-60,-60,-79,-88,-82,-86,-82,-79
164.334,1256.64,-47,-68,-77,-77,-59,-78,-89,-89,-89,-59
164.39,1063.07,-68,-74,-71,-71,-71,-89,-120,-83,-89,-75
164.634,1395.35,-51,-69,-78,-77,-63,-120,-81,-120,-120,-63
164.658,1257.54,-44,-64,-78,-77,-52,-76,-79,-120,-120,-51
164.816,1447.29,-71,-80,-88,-90,-68,-86,-83,-120,-120,-69
165.037,1495.07,-60,-120,-84,-84,-75,-87,-77,-120,-120,-76
165.09,112,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120
165.205,1054.51,-60,-47,-64,-65,-70,-85,-120,-80,-82,-71
165.262,395.418,-120,-80,-78,-75,-120,-120,-120,-120,-120,-120
165.851,430.092,-89,-120,-83,-81,-120,-120,-120,-120,-120,-120
165.988,1347.52,-56,-77,-81,-82,-61,-120,-83,-120,-120,-61
166.075,251.234,-86,-86,-81,-120,-120,-120,-120,-120,-120,-120
166.075,519.838,-86,-83,-80,-81,-120,-120,-120,-120,-120,-120
166.094,1446.95,-54,-69,-83,-83,-59,-90,-75,-120,-120,-59
166.374,284.55,-120,-80,-79,-80,-120,-120,-120,-120,-120,-120
166.594,1259.97,-48,-63,-76,-73,-57,-86,-84,-120,-120,-56
166.773,194.526,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
166.967,1379.79,-67,-120,-82,-82,-65,-86,-80,-120,-120,-65
167.061,1301.85,-56,-62,-86,-79,-57,-85,-86,-120,-120,-56
167.143,1089.75,-60,-54,-72,-67,-70,-120,-120,-92,-90,-69
167.189,1108.3,-58,-49,-72,-72,-69,-85,-120,-79,-84,-69
167.258,151.68,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
167.328,350.27,-120,-120,-120,-85,-120,-120,-120,-120,-120,-120
167.453,896.219,-71,-56,-58,-58,-79,-120,-120,-120,-120,-80
167.486,739.188,-77,-71,-55,-55,-81,-120,-120,-120,-120,-81
167.538,829.301,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
167.779,1050.33,-63,-120,-68,-68,-67,-86,-120,-77,-83,-67
167.857,237.508,-120,-80,-80,-80,-120,-120,-120,-120,-120,-120
167.994,1548.53,-72,-120,-86,-83,-75,-120,-81,-120,-120,-74
167.999,697.576,-80,-77,-70,-70,-79,-120,-120,-120,-120,-120
168.03,1534.01,-57,-74,-84,-120,-71,-120,-68,-120,-120,-71
168.031,1301.66,-50,-61,-82,-82,-55,-83,-79,-120,-120,-56
168.1,848.492,-83,-58,-44,-44,-51,-72,-120,-120,-120,-50
168.221,481.277,-89,-120,-82,-79,-120,-120,-120,-120,-120,-120
168.358,950.489,-68,-47,-66,-65,-73,-120,-120,-83,-120,-73
168.451,1483.85,-64,-71,-84,-86,-66,-120,-70,-120,-120,-66
168.516,1155,-48,-51,-70,-70,-63,-120,-120,-84,-90,-63
168.536,1465.32,-65,-120,-80,-80,-66,-86,-79,-120,-120,-67
168.545,525.608,-120,-78,-88,-80,-120,-120,-120,-120,-120,-120
168.548,243.979,-120,-120,-87,-87,-120,-120,-120,-120,-120,-120
168.579,343.416,-120,-87,-82,-120,-120,-120,-120,-120,-120,-120
168.612,341,-120,-85,-77,-81,-120,-120,-120,-120,-120,-120
168.721,1529.92,-63,-66,-85,-120,-68,-87,-72,-120,-120,-68
168.802,388.203,-120,-86,-85,-79,-120,-120,-120,-120,-120,-120
168.819,654.694,-120,-78,-71,-71,-120,-120,-120,-120,-120,-120
168.913,838.486,-78,-51,-43,-43,-81,-120,-120,-78,-72,-84
168.922,483.923,-120,-120,-76,-75,-120,-120,-120,-120,-120,-120
169.541,698.308,-85,-120,-56,-58,-120,-120,-120,-120,-120,-120
169.631,203.664,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
169.856,1535.07,-77,-77,-87,-86,-73,-120,-71,-120,-120,-72
170.338,1005.53,-66,-42,-58,-58,-73,-120,-120,-120,-87,-75
170.534,1492.79,-59,-83,-82,-83,-67,-86,-83,-120,-120,-67
170.764,1564.31,-69,-78,-120,-120,-70,-120,-75,-120,-120,-70
170.927,996.41,-77,-47,-66,-65,-78,-120,-120,-89,-120,-76
171.021,529.341,-84,-76,-80,-72,-120,-120,-120,-120,-120,-120
171.485,1581.29,-74,-77,-89,-86,-76,-120,-74,-120,-120,-77
171.749,145.532,-95,-90,-120,-120,-120,-120,-120,-120,-120,-120
172.228,210.382,-120,-89,-120,-120,-120,-120,-120,-120,-120,-120
172.246,1582.98,-66,-120,-120,-120,-70,-120,-73,-120,-120,-70
172.491,575.294,-120,-71,-73,-73,-120,-120,-120,-120,-120,-120
172.501,207.836,-89,-89,-81,-83,-120,-120,-120,-120,-120,-120
172.515,1307.25,-48,-60,-72,-71,-54,-84,-120,-120,-90,-54
172.632,1206.64,-45,-57,-73,-73,-55,-79,-120,-120,-87,-55
173.098,1589.94,-72,-120,-87,-88,-77,-120,-78,-120,-120,-78
174.148,618.135,-84,-80,-69,-70,-120,-120,-120,-120,-120,-120
174.19,568.647,-120,-81,-78,-70,-120,-120,-120,-120,-120,-120
174.227,622.27,-120,-84,-74,-72,-120,-120,-120,-120,-120,-120
174.266,1351.3,-57,-63,-74,-74,-58,-85,-84,-120,-120,-57
175.59,291.014,-90,-78,-79,-78,-120,-120,-120,-120,-120,-120
176.062,891.432,-75,-51,-59,-59,-77,-120,-120,-90,-120,-78
176.291,904.768,-72,-50,-55,-55,-77,-120,-120,-120,-120,-77
176.415,943.185,-69,-48,-55,-55,-78,-120,-120,-120,-84,-77
177.315,660.392,-85,-76,-60,-60,-86,-120,-120,-120,-120,-84
177.406,1603.66,-74,-80,-90,-120,-75,-120,-80,-120,-120,-81
177.639,1047.84,-66,-48,-81,-65,-71,-87,-120,-87,-87,-71
177.646,1001.71,-64,-48,-58,-58,-70,-120,-120,-120,-120,-70
178.138,697.511,-86,-75,-60,-59,-120,-120,-120,-120,-120,-88
178.264,476.489,-120,-81,-83,-82,-120,-120,-120,-120,-120,-120
178.407,240.013,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
178.82,238.307,-120,-83,-79,-79,-120,-120,-120,-120,-120,-120
179.501,831.008,-74,-70,-54,-54,-81,-120,-120,-120,-120,-81
180.669,98.0419,-120,-90,-120,-120,-120,-120,-120,-120,-120,-120
181.541,1414.64,-62,-120,-88,-87,-64,-84,-77,-120,-120,-64
181.681,379.548,-120,-93,-90,-90,-120,-120,-120,-120,-120,-120
182.337,596.675,-87,-71,-54,-54,-81,-120,-120,-120,-120,-81
182.559,944.587,-70,-43,-61,-61,-72,-120,-120,-120,-120,-71
182.945,242.574,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
183.024,441.738,-120,-87,-83,-82,-120,-120,-120,-120,-120,-120
185.817,438.219,-120,-80,-77,-77,-120,-120,-120,-120,-120,-120
187.07,311.27,-120,-84,-77,-77,-120,-120,-120,-120,-120,-120
188.769,792.097,-84,-56,-53,-52,-80,-120,-120,-120,-120,-78
188.815,497.556,-82,-120,-61,-62,-120,-120,-120,-120,-120,-120
191.405,47.6721,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120
192.527,404.94,-79,-84,-76,-74,-120,-120,-120,-120,-120,-120
193.173,773.669,-62,-71,-66,-60,-72,-85,-120,-120,-120,-72
194.455,63.7673,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120
194.797,887.3,-74,-59,-57,-57,-82,-120,-120,-120,-120,-83
195.191,785.089,-78,-69,-56,-56,-90,-120,-120,-120,-120,-120
195.574,1590.79,-75,-83,-85,-87,-71,-120,-78,-120,-120,-71
199.89,846.12,-75,-54,-46,-46,-89,-120,-120,-120,-120,-120
200.119,931.323,-77,-56,-58,-58,-79,-120,-120,-120,-120,-85
200.404,432.703,-89,-83,-74,-79,-120,-120,-120,-120,-120,-120
201.225,509.921,-89,-83,-75,-74,-120,-120,-120,-120,-120,-120
201.763,1611.76,-67,-120,-87,-120,-73,-120,-72,-120,-120,-73
202.613,1594.41,-74,-80,-120,-120,-78,-120,-74,-120,-120,-78
204.319,1288.68,-53,-77,-84,-85,-57,-85,-86,-120,-120,-57
204.508,253.941,-89,-83,-78,-82,-120,-120,-120,-120,-120,-120
205.771,783.945,-80,-68,-59,-61,-79,-120,-120,-120,-120,-80
206.442,1462.91,-89,-120,-88,-88,-68,-86,-77,-120,-120,-68
206.97,590.355,-89,-77,-67,-67,-120,-120,-120,-120,-120,-120
207.025,1549.94,-79,-120,-83,-83,-83,-86,-80,-120,-120,-74
210.287,470.35,-77,-120,-75,-75,-120,-120,-120,-120,-120,-120
210.442,1422.58,-65,-71,-120,-120,-61,-90,-80,-120,-120,-61
210.81,1591.15,-73,-120,-120,-120,-75,-120,-69,-120,-120,-74
211.193,845.048,-87,-72,-53,-54,-87,-120,-120,-120,-87,-120
211.921,1013.93,-65,-50,-71,-68,-74,-120,-120,-83,-89,-74
213.585,1392.8,-59,-120,-87,-87,-66,-83,-80,-88,-120,-65
213.587,841.099,-65,-120,-49,-49,-84,-120,-120,-87,-87,-84
220.335,1638.58,-69,-120,-120,-120,-81,-88,-72,-120,-120,-77
222.347,473.406,-79,-79,-74,-74,-120,-120,-120,-120,-120,-120
223.42,1071.57,-64,-54,-70,-70,-68,-84,-120,-81,-85,-68
224.334,1113.07,-65,-38,-71,-71,-72,-87,-120,-86,-86,-71
225.811,1089.02,-80,-56,-73,-73,-71,-120,-120,-74,-86,-71
227.761,1095.73,-68,-47,-73,-73,-74,-120,-120,-89,-89,-73
232.845,472.261,-78,-72,-66,-67,-120,-120,-120,-120,-120,-120
232.876,1095.08,-71,-50,-78,-78,-73,-120,-120,-80,-89,-74
234.2,1105.99,-65,-44,-75,-72,-72,-90,-120,-86,-86,-72
235.27,1208.64,-44,-65,-87,-86,-48,-76,-77,-89,-120,-48
235.917,1096.8,-61,-46,-68,-68,-65,-120,-120,-83,-80,-65
241.032,1638.76,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
252.075,1068.17,-57,-80,-63,-63,-61,-120,-120,-88,-80,-62
265.044,1636.37,-76,-120,-120,-120,-81,-120,-69,-120,-120,-82
266.592,847.859,-78,-57,-41,-39,-79,-120,-120,-84,-120,-80
272.541,1629.3,-74,-89,-120,-120,-85,-120,-68,-120,-120,-86
272.586,842.001,-83,-57,-43,-43,-87,-120,-120,-81,-87,-82
275.656,840.873,-85,-120,-33,-33,-86,-120,-120,-83,-83,-87
295.627,1137.55,-63,-46,-72,-72,-70,-81,-120,-80,-78,-70
305.862,459.934,-120,-120,-74,-72,-120,-120,-120,-120,-120,-120
306.227,1206.74,-47,-56,-84,-120,-43,-74,-77,-86,-89,-43
312.301,1637.78,-74,-120,-120,-120,-86,-88,-65,-120,-120,-80
316.413,467.677,-120,-78,-77,-78,-120,-120,-120,-120,-120,-120
317.872,1631.19,-77,-89,-120,-120,-82,-120,-65,-120,-120,-87
337.913,843.63,-74,-57,-41,-40,-75,-120,-120,-78,-73,-76
346.639,840.977,-78,-120,-49,-49,-81,-87,-120,-82,-82,-78
351.373,1636.56,-76,-120,-120,-120,-73,-89,-63,-120,-120,-74
378.833,459.921,-84,-78,-79,-120,-120,-120,-120,-120,-120,-120
382.755,475.087,-120,-73,-75,-78,-120,-120,-120,-120,-120,-120
418.059,465.562,-120,-81,-83,-81,-120,-120,-120,-120,-120,-120
443.818,1630.94,-81,-120,-120,-120,-79,-82,-57,-120,-120,-79
449.829,463.594,-120,-83,-83,-79,-120,-120,-120,-120,-120,-120
460.241,246.514,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
460.538,293.265,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
465.415,739.951,-120,-120,-67,-67,-120,-86,-120,-86,-67,-120
466.561,1568.83,-71,-120,-120,-120,-81,-79,-27,-120,-120,-84
467.027,680.351,-120,-120,-76,-73,-120,-120,-120,-87,-86,-120
468.36,823.264,-85,-120,-56,-56,-83,-86,-89,-88,-70,-83
468.505,1616.27,-82,-120,-120,-120,-85,-81,-58,-120,-120,-84
470.218,100.958,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
478.822,176.102,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
486.636,1010.62,-64,-57,-76,-75,-74,-71,-82,-52,-53,-72
487.081,1006.58,-80,-62,-82,-82,-85,-79,-83,-65,-62,-86
487.395,858.653,-79,-67,-64,-63,-87,-81,-120,-70,-67,-88
487.868,886.58,-73,-61,-82,-82,-77,-80,-84,-66,-65,-78
488.279,980.885,-79,-53,-74,-74,-77,-73,-85,-56,-59,-77
490.743,937.981,-74,-66,-64,-65,-80,-72,-85,-60,-57,-80
491.832,1629.44,-82,-120,-120,-120,-79,-81,-52,-88,-120,-79
492.069,1170.63,-62,-62,-87,-86,-75,-58,-80,-71,-68,-75
492.725,931.193,-80,-65,-76,-77,-86,-77,-86,-62,-62,-85
492.737,892.338,-75,-59,-58,-58,-81,-72,-77,-60,-61,-81
493.69,1164.36,-59,-61,-84,-83,-64,-56,-76,-59,-66,-63
494.093,861.802,-87,-66,-76,-76,-87,-81,-72,-75,-72,-89
494.141,1218.91,-62,-65,-86,-87,-67,-58,-80,-71,-71,-68
496.176,1221.36,-60,-58,-86,-85,-63,-52,-71,-60,-74,-57
497.379,1172.86,-68,-68,-90,-90,-69,-67,-80,-68,-62,-73
497.708,1212.37,-89,-71,-87,-87,-72,-72,-77,-79,-80,-72
498.206,1638.89,-90,-120,-120,-120,-120,-85,-78,-120,-120,-120
502.072,1151.75,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
502.986,1143.24,-68,-59,-87,-86,-75,-65,-77,-65,-71,-75
503.027,1073.29,-67,-62,-82,-80,-72,-64,-76,-54,-59,-67
503.352,1066.69,-80,-62,-120,-120,-81,-76,-83,-59,-62,-82
504.651,1111.78,-77,-62,-88,-87,-72,-60,-86,-65,-71,-72
505.922,1106.22,-65,-55,-82,-82,-66,-64,-77,-58,-63,-71
506.2,830.409,-81,-62,-53,-53,-83,-75,-79,-69,-67,-81
506.393,1069.52,-68,-71,-78,-79,-81,-67,-77,-59,-74,-80
508.199,1147.51,-68,-68,-86,-88,-71,-60,-80,-62,-71,-71
509.225,932.034,-77,-59,-76,-76,-70,-75,-81,-54,-62,-70
509.225,1003.82,-78,-62,-80,-79,-75,-76,-83,-54,-48,-76
510.849,968.138,-77,-56,-81,-80,-73,-71,-79,-54,-52,-71
512.134,1154.48,-74,-61,-83,-83,-69,-59,-76,-59,-63,-64
513.893,477.76,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
516.324,826.854,-80,-64,-58,-59,-86,-75,-81,-66,-67,-120
519.023,474.024,-120,-81,-120,-120,-120,-120,-120,-120,-120,-120
523.16,1221.12,-61,-62,-73,-73,-64,-48,-72,-64,-70,-64
524.925,1224.54,-69,-72,-120,-120,-72,-54,-72,-75,-81,-71
532.07,1633.26,-80,-120,-120,-120,-86,-79,-56,-89,-120,-87
532.164,1216.76,-57,-69,-83,-82,-63,-45,-71,-69,-71,-63
537.972,850.792,-79,-62,-56,-56,-86,-83,-83,-65,-62,-120
559.256,1411.47,-71,-120,-120,-120,-78,-60,-53,-89,-86,-79
567.545,870.806,-120,-120,-79,-81,-120,-120,-120,-90,-87,-120
570.878,1631.51,-80,-120,-120,-120,-85,-77,-53,-87,-88,-87
572.541,646.398,-120,-89,-86,-83,-120,-81,-86,-74,-89,-120
573.31,393.943,-120,-93,-120,-120,-120,-120,-120,-120,-120,-120
576.415,1116.96,-74,-66,-120,-120,-76,-55,-77,-64,-60,-78
577.492,547.119,-120,-120,-86,-86,-120,-82,-86,-81,-81,-120
578.192,542.024,-89,-89,-85,-85,-120,-82,-86,-80,-89,-120
579.153,694.54,-120,-82,-60,-66,-120,-75,-80,-68,-65,-120
580.367,1405.11,-69,-74,-120,-120,-69,-55,-50,-72,-74,-68
580.812,618.591,-120,-83,-81,-83,-120,-82,-82,-75,-77,-120
581.065,720.169,-120,-92,-84,-85,-120,-84,-87,-87,-90,-120
581.208,654.636,-120,-90,-81,-81,-120,-120,-82,-84,-88,-120
581.298,701.023,-120,-89,-89,-88,-120,-87,-83,-86,-83,-120
581.897,337.493,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
582.406,638.853,-120,-120,-86,-83,-120,-88,-90,-93,-84,-120
583.026,467.414,-120,-120,-82,-120,-120,-75,-81,-77,-82,-120
